field_id,common_name,species_name,family,order,common_group,sp_code,,master_trawl,notes,Common group sorting order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocean surgeon,"surgeon, ocean",Acanthurus bahianus,Acanthuridae,Perciformes,Pisces,Aca bah,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tang,"tang, unid spp.",,Acanthuridae,Perciformes,Pisces,Acanthuridae,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sole,"sole, lined ",Achirus lineatus,Achiridae,Pleuronectiformes,Pisces,Arc lin,Ach lin,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hogchoker,hogchoker,Trinectes maculatus,Achiridae,Pleuronectiformes,Pisces,Tri mac,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
american eel,"eel, american",Anguilla rostrata,Anguillidae,Anguilliformes,Pisces,Ang ros,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sargassumfish,sargassumfish,Histrio histrio,Antenarridae,Lophiiformes,Pisces,His his,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hardhead catfish,"catfish, hardhead",Ariopsis felis,Ariidae,Siluriformes,Pisces,Ari fel,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silverside,silverside spp.,Menidia spp.,Atherinidae,Atheriniformes,Pisces,Men spp,,X,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inland silverside,"silverside, inland ",Menidia beryllina,Atherinopsidae,Atheriniformes,Pisces,Men ber,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atlantic silverside,"silverside, atlantic ",Menidia menidia,Atherinopsidae,Atheriniformes,Pisces,Men men,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpetfish,trumpetfish,Aulostomus strigosus,Aulostomidae,Syngnathiformes,Pisces,Aul stri,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
